Date,Month of Year,Week,Day of Week,Hour of Day,Condition,Average Celsius,Minimum Celsius,Maximum Celsius,Pressure,Humidity,WindSpeed
2020-11-01 21:00:11.043,11,45,1,21,8,11.940000000000000,11.110000000000000,12.780000000000000,1008.000000000000000,93.000000000000000,3.100000000000000
2020-11-02 03:00:10.857,11,45,2,3,12,8.910000000000000,7.780000000000000,10.000000000000000,1007.000000000000000,66.000000000000000,4.100000000000000
2020-11-02 09:00:15.340,11,45,2,9,0,4.150000000000000,3.330000000000000,5.000000000000000,1007.000000000000000,55.000000000000000,5.700000000000000
2020-11-02 15:00:11.720,11,45,2,15,13,5.330000000000000,4.440000000000000,6.110000000000000,1010.000000000000000,41.000000000000000,5.700000000000000
2020-11-02 21:00:10.933,11,45,2,21,1,6.980000000000000,5.560000000000000,8.330000000000000,1012.000000000000000,28.000000000000000,4.100000000000000
2020-11-03 03:00:16.643,11,45,3,3,1,4.910000000000000,3.330000000000000,6.000000000000000,1013.000000000000000,52.000000000000000,3.600000000000000
2020-11-03 09:00:10.893,11,45,3,9,1,4.830000000000000,2.780000000000000,6.670000000000000,1011.000000000000000,48.000000000000000,3.600000000000000
2020-11-03 15:00:19.397,11,45,3,15,3,9.310000000000000,8.000000000000000,10.560000000000000,1015.000000000000000,42.000000000000000,4.600000000000000
2020-11-03 21:00:15.020,11,45,3,21,1,11.790000000000000,10.560000000000000,13.000000000000000,1019.000000000000000,40.000000000000000,3.600000000000000
2020-11-04 03:00:14.667,11,45,4,3,12,8.560000000000000,7.220000000000000,10.000000000000000,1026.000000000000000,57.000000000000000,2.600000000000000
2020-11-04 09:00:13.527,11,45,4,9,1,5.410000000000000,3.890000000000000,7.000000000000000,1030.000000000000000,56.000000000000000,2.600000000000000
2020-11-04 15:00:18.223,11,45,4,15,1,10.690000000000000,8.000000000000000,13.890000000000000,1032.000000000000000,57.000000000000000,2.100000000000000
2020-11-04 21:00:19.670,11,45,4,21,1,16.690000000000000,15.560000000000000,18.000000000000000,1031.000000000000000,48.000000000000000,2.100000000000000
2020-11-05 03:00:15.060,11,45,5,3,1,12.990000000000000,11.670000000000000,14.000000000000000,1032.000000000000000,50.000000000000000,3.600000000000000
2020-11-05 09:00:09.590,11,45,5,9,1,10.880000000000000,8.890000000000000,12.220000000000000,1031.000000000000000,81.000000000000000,1.500000000000000
2020-11-05 15:00:18.630,11,45,5,15,1,13.770000000000000,11.000000000000000,16.670000000000000,1031.000000000000000,87.000000000000000,4.100000000000000
2020-11-05 21:00:13.813,11,45,5,21,1,18.650000000000000,16.110000000000000,21.000000000000000,1028.000000000000000,55.000000000000000,2.600000000000000
2020-11-06 03:00:14.303,11,45,6,3,1,14.400000000000000,12.780000000000000,16.000000000000000,1028.000000000000000,59.000000000000000,2.100000000000000
2020-11-06 09:00:12.837,11,45,6,9,1,12.330000000000000,10.000000000000000,14.000000000000000,1027.000000000000000,76.000000000000000,2.190000000000000
2020-11-06 15:00:15.600,11,45,6,15,1,15.660000000000000,13.890000000000000,17.780000000000000,1027.000000000000000,59.000000000000000,3.100000000000000
2020-11-06 21:00:17.603,11,45,6,21,1,20.190000000000000,17.000000000000000,23.000000000000000,1023.000000000000000,40.000000000000000,2.100000000000000
2020-11-07 03:00:13.073,11,45,7,3,1,16.020000000000000,13.000000000000000,18.000000000000000,1024.000000000000000,55.000000000000000,2.760000000000000
2020-11-07 09:00:12.833,11,45,7,9,1,13.050000000000000,9.000000000000000,15.560000000000000,1024.000000000000000,54.000000000000000,2.100000000000000
2020-11-07 15:00:12.287,11,45,7,15,1,17.790000000000000,15.000000000000000,19.440000000000000,1026.000000000000000,45.000000000000000,2.600000000000000
2020-11-07 21:00:12.567,11,45,7,21,1,22.810000000000000,21.110000000000000,24.000000000000000,1024.000000000000000,35.000000000000000,2.520000000000000
2020-11-08 03:00:14.013,11,46,1,3,1,16.590000000000000,13.000000000000000,19.000000000000000,1025.000000000000000,39.000000000000000,2.100000000000000
2020-11-08 09:00:11.870,11,46,1,9,1,14.060000000000000,9.000000000000000,17.000000000000000,1026.000000000000000,48.000000000000000,3.100000000000000
2020-11-08 15:00:13.050,11,46,1,15,1,17.290000000000000,16.000000000000000,18.890000000000000,1029.000000000000000,51.000000000000000,1.590000000000000
2020-11-08 21:00:10.680,11,46,1,21,1,23.000000000000000,22.000000000000000,24.000000000000000,1028.000000000000000,35.000000000000000,1.250000000000000
2020-11-09 03:00:15.787,11,46,2,3,1,15.700000000000000,13.000000000000000,17.000000000000000,1028.000000000000000,51.000000000000000,1.060000000000000
2020-11-09 21:00:17.793,11,46,2,21,1,22.900000000000000,19.440000000000000,26.000000000000000,1025.000000000000000,35.000000000000000,2.620000000000000
2020-11-10 03:00:15.493,11,46,3,3,1,16.680000000000000,14.000000000000000,19.000000000000000,1026.000000000000000,72.000000000000000,1.910000000000000
2020-11-10 09:00:13.690,11,46,3,9,1,14.850000000000000,13.000000000000000,17.000000000000000,1025.000000000000000,77.000000000000000,2.320000000000000
2020-11-10 15:00:18.637,11,46,3,15,1,17.820000000000000,16.000000000000000,19.440000000000000,1024.000000000000000,72.000000000000000,3.100000000000000
2020-11-10 21:00:19.450,11,46,3,21,0,22.530000000000000,20.560000000000000,24.000000000000000,1021.000000000000000,56.000000000000000,2.600000000000000
2020-11-11 03:00:29.207,11,46,4,3,1,17.630000000000000,15.560000000000000,19.000000000000000,1021.000000000000000,82.000000000000000,4.420000000000000
2020-11-11 09:00:14.857,11,46,4,9,1,16.260000000000000,14.440000000000000,18.000000000000000,1019.000000000000000,88.000000000000000,2.100000000000000
2020-11-11 15:00:15.907,11,46,4,15,12,19.030000000000000,17.220000000000000,20.000000000000000,1019.000000000000000,82.000000000000000,4.490000000000000
2020-11-11 21:00:12.373,11,46,4,21,10,19.140000000000000,18.000000000000000,20.000000000000000,1015.000000000000000,93.000000000000000,5.860000000000000
2020-11-12 03:00:13.323,11,46,5,3,10,18.520000000000000,17.220000000000000,19.440000000000000,1014.000000000000000,93.000000000000000,2.090000000000000
2020-11-12 09:00:14.607,11,46,5,9,10,18.820000000000000,17.780000000000000,19.440000000000000,1013.000000000000000,100.000000000000000,1.500000000000000
2020-11-12 15:00:15.110,11,46,5,15,10,12.940000000000000,11.670000000000000,14.000000000000000,1016.000000000000000,93.000000000000000,4.600000000000000
2020-11-12 21:00:18.027,11,46,5,21,12,9.020000000000000,8.330000000000000,10.000000000000000,1016.000000000000000,76.000000000000000,6.700000000000000
2020-11-13 03:00:13.787,11,46,6,3,12,9.240000000000000,8.890000000000000,10.000000000000000,1019.000000000000000,70.000000000000000,4.100000000000000
2020-11-13 09:00:14.847,11,46,6,9,10,8.960000000000000,8.000000000000000,10.000000000000000,1019.000000000000000,87.000000000000000,2.600000000000000
2020-11-13 15:00:17.007,11,46,6,15,8,9.040000000000000,8.000000000000000,10.000000000000000,1016.000000000000000,93.000000000000000,2.100000000000000
2020-11-13 21:00:17.097,11,46,6,21,0,10.160000000000000,9.440000000000000,11.000000000000000,1014.000000000000000,87.000000000000000,2.600000000000000
2020-11-14 03:00:11.280,11,46,7,3,1,8.990000000000000,7.000000000000000,11.000000000000000,1016.000000000000000,81.000000000000000,2.100000000000000
2020-11-14 09:00:21.650,11,46,7,9,3,7.750000000000000,5.560000000000000,10.000000000000000,1018.000000000000000,65.000000000000000,3.940000000000000
2020-11-14 15:00:15.033,11,46,7,15,1,9.020000000000000,7.780000000000000,10.000000000000000,1022.000000000000000,61.000000000000000,2.100000000000000
2020-11-14 21:00:13.340,11,46,7,21,1,11.030000000000000,10.000000000000000,12.000000000000000,1021.000000000000000,37.000000000000000,4.070000000000000
2020-11-15 03:00:14.657,11,47,1,3,1,7.480000000000000,5.000000000000000,9.440000000000000,1025.000000000000000,45.000000000000000,2.100000000000000
2020-11-15 09:00:12.643,11,47,1,9,1,5.000000000000000,2.000000000000000,7.000000000000000,1026.000000000000000,65.000000000000000,1.500000000000000
2020-11-15 15:00:18.977,11,47,1,15,1,11.020000000000000,7.000000000000000,13.330000000000000,1023.000000000000000,61.000000000000000,1.500000000000000
2020-11-15 21:00:15.957,11,47,1,21,12,14.240000000000000,13.330000000000000,15.000000000000000,1014.000000000000000,62.000000000000000,10.369999999999999
2020-11-16 03:00:14.890,11,47,2,3,12,13.080000000000000,12.220000000000000,14.000000000000000,1007.000000000000000,71.000000000000000,5.700000000000000
2020-11-16 09:00:17.303,11,47,2,9,1,10.000000000000000,8.330000000000000,11.110000000000000,1011.000000000000000,37.000000000000000,3.600000000000000
2020-11-16 15:00:19.123,11,47,2,15,1,9.960000000000000,8.890000000000000,10.560000000000000,1015.000000000000000,42.000000000000000,5.100000000000000
2020-11-16 21:00:14.613,11,47,2,21,1,11.060000000000000,10.000000000000000,12.220000000000000,1015.000000000000000,37.000000000000000,3.600000000000000
2020-11-17 03:00:17.540,11,47,3,3,1,7.850000000000000,4.440000000000000,11.000000000000000,1016.000000000000000,42.000000000000000,3.100000000000000
2020-11-17 09:00:14.333,11,47,3,9,1,6.280000000000000,3.000000000000000,8.000000000000000,1015.000000000000000,42.000000000000000,2.100000000000000
2020-11-17 15:00:21.663,11,47,3,15,12,8.420000000000000,7.000000000000000,9.440000000000000,1015.000000000000000,42.000000000000000,3.100000000000000
